entry_time,exit_time,entry_price,exit_price,size_usdc,pnl_usdc,pnl_bps,strategy,regime,exit_reason
1783341900000,1783347300000,1739.810000,1756.794286,10000000,-12379,98,mean_reversion,RANGING,take_profit
1783498500000,1783510200000,1730.110000,1743.180000,10000000,-34456,76,mean_reversion,RANGING,take_profit
1783523700000,1783527300000,1716.010000,1731.852857,10000000,-17677,92,mean_reversion,RANGING,take_profit
1783692900000,1783693800000,1788.120000,1777.802143,10000000,-167703,-58,trend_pullback,TRENDING_UP,stop_loss
1783811700000,1783812600000,1794.870000,1787.050714,10000000,-153565,-44,mean_reversion,RANGING,stop_loss
1783890900000,1783893600000,1814.460000,1809.097500,10000000,-139555,-30,trend_pullback,TRENDING_UP,stop_loss
1783902600000,1783911600000,1813.580000,1798.045357,10000000,-195658,-86,trend_pullback,TRENDING_UP,stop_loss
1783945800000,1783949400000,1769.670000,1762.974643,10000000,-147834,-38,mean_reversion,RANGING,stop_loss
1784097900000,1784099700000,1875.050000,1866.123929,10000000,-157605,-48,trend_pullback,TRENDING_UP,stop_loss
1784188800000,1784205000000,1884.480000,1874.220000,10000000,-164445,-54,mean_reversion,RANGING,stop_loss
1784266200000,1784267100000,1831.080000,1821.578571,10000000,-161890,-52,mean_reversion,RANGING,stop_loss
1784293200000,1784295000000,1813.140000,1805.011071,10000000,-154834,-45,mean_reversion,RANGING,stop_loss
1784453400000,1784457900000,1865.340000,1871.588571,10000000,-76502,33,trend_pullback,TRENDING_UP,take_profit
1784463300000,1784472300000,1867.680000,1878.038571,10000000,-54538,55,trend_pullback,TRENDING_UP,take_profit
1784481300000,1784484000000,1868.930000,1861.199643,10000000,-151363,-41,trend_pullback,TRENDING_UP,stop_loss
1784643300000,1784652300000,1931.610000,1920.878571,10000000,-165557,-56,trend_pullback,TRENDING_UP,stop_loss
1784809800000,1784810700000,1903.800000,1896.717857,10000000,-147201,-37,mean_reversion,RANGING,stop_loss
